Id;Place Name;Locationlat;lng;ViewportNortheastlat;lng;Southwestlat;lng;Icon;Open_now;day;Photo Height,Photo Width,Html_attributions,Photo_reference;Rating;Reference;Scope;type;Vicinity;Website;
450ad84ef650187f4d4c953e39b663b022740b11;Xin Wang Taiwan Street Food;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJCW1snYkZ2jERdHjeb38Uj2s;0;CmRRAAAAPW5s_lMOCZdnFrqmFfNoQ4hQxLv1GcNQsTUnC4Pn8jYuWsEse2zwXvVBN9qmgy8lmHBZPZQE8m6F4mVb3hXwMWa_Z9_oFOc0_OXQMnmYgNxgPe1dA7ySVxP7jt0fulVSEhBYyaO7MCDN0WVFG5n9l35GGhQHAVLSKXY1WFmcAVkhpp0LWsJRqg;GOOGLE;[restaurant,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
0d397cc1d04e85eab45f639885dd8d0697a13d5d;Whitebait & Kale Pte Ltd;1.3031601;103.8237124;1.3032796;103.8238213;1.3028016;103.8233857;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJByBqiIkZ2jERgGhtL_SDMG8;0;CmRRAAAAp62w31IpSq4fZTIiHeYnFIUFm0k6KlzbvCuQiH8UKIpqwRqenZbwi7F-r73Lplo9l9jDAdt9hBWRjh9OprWX-R7XPi6hTvaXsvSEU_yYvR_0JsaO7DfWl8xYg90qYaeCEhCrAN4YU6PZessp6u6mOxWvGhQ6M5yGSZJ8pDWc4Fkva5mmtyT8qQ;GOOGLE;[restaurant,food,point_of_interest,establishment,];1 Orchard Boulevard;;
fc2148e271ab00a4092ff722fc5c3f4d440fed63;Long John Silver's (On the Go);1.302562;103.824451;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJCW1snYkZ2jERkhDhtBb5hiQ;0;CmRRAAAA6v3579VW-UxwcvCtkKzxtwOHPXZa-k9wCkSH7r8CcqkAg4uHPbf25Cy8JCv8mAaVY9ROkx70ZNiMVFfVeBe0WrrcidFnreiT_HUZ6EtGWONI3HORFdQHe8YJ7x0e3WV9EhApOQxn7rUDEcyJ3OFEkdOqGhSvBCE2-6VC1wt-f-VCbMoPHFEbXA;GOOGLE;[restaurant,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
01abb50ac34ed327259dcbe99af101630e9bc1ab;Cheers;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJCW1snYkZ2jERGSjLkbFhTBw;0;CmRRAAAAXdQC8exEgauZZa2-KdnR4tG4-krzPq-x3SxD2XZa4S3E00i7F5JxBqPaYmZZTS9SGHwpu-YTk-BJlkJ3eGF1cmTE8nT02mYnPwH3ATF1wsUCzYpMAj5Kc_o3S7yEDbCdEhB30QZ2OhHe45TyPOGUox_mGhRw7OUJ24vdfO1bV-CCSioFN3DgoQ;GOOGLE;[convenience_store,food,store,point_of_interest,establishment,];2 Orchard Link, Singapore;;
b4a78d91bc7eb6e6d9ccc0d200f205d68a8bbbe6;The Cocoa Trees - 290 Orchard Road;1.302559;103.824451;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;;[];[];ChIJvxRsnYkZ2jERfWs27Q4PNyE;0;CmRRAAAAj8AVLB-vFxhkt9ChwFg1QNsuzmG3Uj2U0ZrdXu__1Gfj4wWUNmot7ROQ3zYzLgyaxWRhCmhbLpBWtT09qNJQY3qFFLbdCvR3_d6cd-Q4gmlSkbsvLvdtQyFM6PXvM7eNEhBZco9ZE51pxf_hgqdxnQz3GhRjfQlN-BbulSHmugPb5Dg6M7DhLQ;GOOGLE;[grocery_or_supermarket,food,store,point_of_interest,establishment,];L'escape Beaute, 290 Orchard Rd;;
47bec33a93e9fa4d792c99089440ae8352f8a6e9;The Looking Glass Bistro;1.3030298;103.8237525;1.30309725;103.82380175;1.30282745;103.82360475;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[1536,2048,[<a href="https://maps.google.com/maps/contrib/114457626465323361622/photos">Julian Chow</a>,],CoQBdwAAAB9VSWcFtVqqD6QIBu0DIRaSxhJ64VDUCSXQYLTMKv165HViLoFprr7Bwa28KB-ctBQGMuqXI5rVoEIOUfHUwamK5Hyp0fq-Jy_S7hQAN5gXcHQ-84nyRBFDWi1XlAOZdXJRg8h-tfi_3i01KKQkeqSZW-rts4GEv-hwfM18MWtwEhB1RE8QIAf9nL2EwhsLEyMmGhRhJ_-Y3NCv5TR1PLbKKWRwRKDa2g,];ChIJ3b59h4kZ2jERWOruuzRM37Y;0;CmRSAAAAjPNf_URSKyzH_39OsvVRf-NFAb8Dcyn4U7Q4dqaUiwx4cXPMJ2T8PjXbo8MPPxM0e0Tbffs4H82Hv_5mQi_RFo2xy-CkvwSXH_OfdQnN85kMLBVQs0NVU0XxEgoOuBhvEhDhsJ42B3S0D7m01PXsC3XmGhQ4CRy3i-PRn3tqlI-4iLM2lZKsdw;GOOGLE;[restaurant,food,point_of_interest,establishment,];1 Orchard Boulevard;;
bf0879a2cee50bb2614c88cda9ac19254d5e604a;Ybn Bioedge (S'pore) Pte. Ltd.;1.3030839;103.8236698;1.30317025;103.8237522;1.30282485;103.8234226;https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;;[];[];ChIJ5Rw7hokZ2jER-Siqjwo6zMk;0;CmRSAAAANOCmcnQ5iweVXYW3v9MaRWbhxr0zNtuRN_s54_quukhrtZq6N53vVXMq8XigcqTmmjLNNSlrAZrTJnZh3X81Q5-vuMnatvGd1IfQ-U_DOq23MAP4LAJtKa4j1GqULpc-EhDW_D8AQihBpHMqJcZfCnGhGhSe0AeWLvCgflx4KN-o9SRiLwp9NA;GOOGLE;[food,point_of_interest,establishment,];1 Orchard Boulevard, Singapore;;
96b9947eee1c0a8375b4842693c32e31b47d2fb1;The Nutrition Clinic;1.3031601;103.8237124;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJZ2NqiIkZ2jERTlSViYv6XmM;0;CmRRAAAAnNuD8lg2L7gLVR-2uM_K3xKAPtpYfwdtgCgeJFUoRezlEXUQ0B4mafr5OublJZcB0q0Gc4ifovVxy9U1VlYdUU4SIA9gWVk8_LNfNm2IWYkZkXHC--6m6kVRligzIQD6EhB4javz5iGtEPBigHRWP1hiGhQCxukz2lnOHWg6BYqF4J2lnnFFwg;GOOGLE;[health,food,store,point_of_interest,establishment,];1 Orchard Blvd;;
992d24aa60223d69e99d8980fb9b4c500734463a;Ice Rockz;1.30256;103.82445;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png;;[];[];ChIJCW1snYkZ2jER8cyNzEzxZyA;0;CmRRAAAAJMhg0nQa5cADlMTxusInTjLJhi60gHsv4cmxNi37LJKzqhBpf_PrT8aVqPxFWh1wBdSWiN1-rIU7UY6xQa2tsOfQJDJHSBoT9rYkYaey77ziaobsHvqeFKObgPzn95PnEhAZPHMJrEeDGvI4ltosKz96GhTWsTeqKnYmLj7wCcdgVKQeqSI4IA;GOOGLE;[cafe,food,point_of_interest,establishment,];2 Orchard Link, Singapore;;
171b9beaf3bd300db036aeeaab0444a4767388ac;Cake My Day;1.3008665;103.8254655;1.30090885;103.82550485;1.30081665;103.82541905;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJr1Z64ogZ2jERLaQfA-Wd8vA;0;CmRSAAAAEHxhODvhsnzQ2S9dxiqAGoxIxFRAB4D2VvQns8p_i4kAu6frm6QpXRLWQCwdCKJOimx3oHvYm2JA39GOM19wfX-2L1kV3aX9_0Qe1skekVmvRBqrjjrJjjBN-SFKaSFjEhAxCsg7WJ3t-giix3-sVJSBGhRq_Qf5upUVTmq7udRnbN166d_ygA;GOOGLE;[bakery,food,store,point_of_interest,establishment,];61A Jalan Arnap;;
0526389d39ce7b7e671a5f91bb1a400e512546b4;Belgarath Investments Pte. Ltd.;1.3011544;103.8256251;1.30134925;103.8256685;1.30108945;103.8254949;https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png;;[];[];ChIJMfCoHokZ2jERAIObbW0gY9I;0;CmRSAAAAoy1zR46zBgxd4RFZ_rgrzWQukmTJLzoRbz3ASLSNIkCLa20tzVSX2x5LrIP9dp5zsXMNmCnjX0KYq2zLschR_SRNbGRh164aCAoei8PABfcrWZLwo_bSmbUYrXN4srW7EhBxJFHxwAfYC6TiRzDtmRP-GhRWpNDZAdDHviazPx8XjIrE9BlqBA;GOOGLE;[restaurant,food,point_of_interest,establishment,];12 One Tree Hill;;
595744a1bbf37c795259744be4cc4bed941d8f1d;Stans Isaacs Pte Ltd;1.303248;103.823826;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJVTwCKIoZ2jER3HP3E9ZdYCw;0;CmRRAAAA2srFM9MbILUYqECyg1caOmoFiJ-hbcvlJQddfEjDuDMPJFQtwXPXv5xOM3IoSR1MyNsJq8d4pSyGtoOznVr6UXsCvTbxW69tieIhPsQZ94LrTEYd4R9-JS04WBGG-JThEhB2HaVTX2_ue9UTTT3Zku_wGhQruc0BItFYlZ0v-jqL1si4cTm6nA;GOOGLE;[food,store,point_of_interest,establishment,];One Orchard Boulevard, #13-08, Camden Medical Centre, 248649;;
e68d01fbe9f1a2effdcea873bc72817c2d47298d;Killiney Kopitiam - Singapore Tourism Board;1.3034814;103.8240609;;;;;https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png;;[];[];ChIJedc4KYoZ2jERURDakBsTMb4;0;CmRSAAAA0rkL4Wgt8xJ0SrxqJXYjitIn0L2Czjj223bTjcEI4y_JeR1Wxn7emDz_iZV-xL2wiT6p6tt18oBeuwh4IAnBgdHTvjAJzPDL2bjxRW5mVyJxHqHndWQq5C7LNmm6g_pvEhAbF-wZrQIhr9Qip-6tWRr_GhR0LsIFCNsv2pKbTTL1UGtGchD6oQ;GOOGLE;[cafe,food,store,point_of_interest,establishment,];1 Orchard Spring Land, Tourism Court, 247729;;
ed98d77120c914cd35b06662bcf1073354426c03;Mesi Impex;1.302652;103.826027;1.30288405;103.82667425;1.30257465;103.82581125;https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;;[];[];ChIJERBNXYkZ2jERX0k0w0q-8ro;0;CmRSAAAATuw61SS4kSJPbRn1HRvmqNenES7G_Dzw2x9P99XwPbNaBV64Ted4C8i4DsgYkAWw4ahv83LrG7X278ZnyoBnE79nhgsPdLIND_kqojOQl_W7f0D2wOfw0D05NcfoHJoXEhCCl4cdCpah3Ua0LP9aNyl0GhSKV7Nhl3fSSzLaufB9f7APwPAW0A;GOOGLE;[electronics_store,food,store,point_of_interest,establishment,];Tomlinson Road;;
